ds4: Metal device Apple M5 Max, 64.00 GiB RAM
ds4: Metal 4 tensor API enabled for Tensor kernels
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=on
ds4: Metal model views created in 0.016 ms, residency requested in 0.053 ms, warmup 0.405 ms (mapped 1.06 MiB from offset 0.00 MiB)
ds4: Metal mapped mmaped model as 1 overlapping shared buffers
dimension,rows,repeat,mode,iterations,total_ms,ms_per_cycle,stage0_ms,stage1_ms,stage2_ms
4096,2,4,enqueue_timers,100,37.904000,0.379040,0.004170,0.001120,0.000970
4096,2,4,stage_sync_timers,100,71.490000,0.714900,0.241430,0.234850,0.238530
4096,2,5,stage_sync_timers,100,72.466000,0.724660,0.226860,0.244500,0.253200
4096,2,5,enqueue_timers,100,37.332000,0.373320,0.004180,0.001120,0.001110
4096,2,5,outer_timer,100,38.076000,0.380760,0.000000,0.000000,0.000000
4096,2,6,outer_timer,100,37.928000,0.379280,0.000000,0.000000,0.000000
4096,2,6,enqueue_timers,100,39.898000,0.398980,0.006220,0.002100,0.001020
4096,2,6,stage_sync_timers,100,74.074000,0.740740,0.254790,0.235920,0.249930
4096,2,7,stage_sync_timers,100,76.107000,0.761070,0.254750,0.249680,0.256590
4096,2,7,enqueue_timers,100,48.589000,0.485890,0.004210,0.001140,0.001020
4096,2,7,outer_timer,100,48.181000,0.481810,0.000000,0.000000,0.000000
4096,3,0,outer_timer,100,42.273000,0.422730,0.000000,0.000000,0.000000
4096,3,0,enqueue_timers,100,39.404000,0.394040,0.003750,0.001020,0.000940
4096,3,0,stage_sync_timers,100,70.747000,0.707470,0.236170,0.234560,0.236640
4096,3,1,stage_sync_timers,100,72.073000,0.720730,0.242610,0.239480,0.238530
4096,3,1,enqueue_timers,100,38.412000,0.384120,0.004120,0.001150,0.000950
4096,3,1,outer_timer,100,38.849000,0.388490,0.000000,0.000000,0.000000
4096,3,2,outer_timer,100,38.744000,0.387440,0.000000,0.000000,0.000000
4096,3,2,enqueue_timers,100,37.454000,0.374540,0.004140,0.001130,0.000940
4096,3,2,stage_sync_timers,100,71.655000,0.716550,0.232090,0.246170,0.238200
4096,3,3,stage_sync_timers,100,73.016000,0.730160,0.240590,0.239040,0.250420
4096,3,3,enqueue_timers,100,47.406000,0.474060,0.006750,0.001410,0.001160
4096,3,3,outer_timer,100,45.785000,0.457850,0.000000,0.000000,0.000000
4096,3,4,outer_timer,100,42.698000,0.426980,0.000000,0.000000,0.000000
4096,3,4,enqueue_timers,100,40.903000,0.409030,0.003750,0.001040,0.000920
4096,3,4,stage_sync_timers,100,73.710000,0.737100,0.245060,0.244200,0.247760
4096,3,5,stage_sync_timers,100,73.069000,0.730690,0.248840,0.245160,0.236630
4096,3,5,enqueue_timers,100,40.863000,0.408630,0.003520,0.001030,0.000980
4096,3,5,outer_timer,100,40.572000,0.405720,0.000000,0.000000,0.000000
4096,3,6,outer_timer,100,41.148000,0.411480,0.000000,0.000000,0.000000
4096,3,6,enqueue_timers,100,41.083000,0.410830,0.003460,0.001040,0.000920
4096,3,6,stage_sync_timers,100,75.443000,0.754430,0.262830,0.237150,0.254320
4096,3,7,stage_sync_timers,100,81.478000,0.814780,0.272990,0.260310,0.281400
4096,3,7,enqueue_timers,100,49.423000,0.494230,0.003620,0.001050,0.000960
4096,3,7,outer_timer,100,40.518000,0.405180,0.000000,0.000000,0.000000
4096,4,0,outer_timer,100,42.528000,0.425280,0.000000,0.000000,0.000000
4096,4,0,enqueue_timers,100,42.099000,0.420990,0.003660,0.001060,0.000860
4096,4,0,stage_sync_timers,100,75.391000,0.753910,0.249060,0.252550,0.252130
4096,4,1,stage_sync_timers,100,74.596000,0.745960,0.254830,0.248590,0.242440
4096,4,1,enqueue_timers,100,42.705000,0.427050,0.003820,0.001060,0.000960
4096,4,1,outer_timer,100,42.904000,0.429040,0.000000,0.000000,0.000000
4096,4,2,outer_timer,100,42.732000,0.427320,0.000000,0.000000,0.000000
4096,4,2,enqueue_timers,100,42.532000,0.425320,0.003600,0.001010,0.000950
4096,4,2,stage_sync_timers,100,75.047000,0.750470,0.251550,0.246710,0.252140
4096,4,3,stage_sync_timers,100,75.698000,0.756980,0.250080,0.256440,0.250400
4096,4,3,enqueue_timers,100,45.213000,0.452130,0.003690,0.001020,0.000950
4096,4,3,outer_timer,100,44.410000,0.444100,0.000000,0.000000,0.000000
4096,4,4,outer_timer,100,45.678000,0.456780,0.000000,0.000000,0.000000
4096,4,4,enqueue_timers,100,39.930000,0.399300,0.003820,0.001030,0.000930
4096,4,4,stage_sync_timers,100,69.382000,0.693820,0.231990,0.229150,0.232560
4096,4,5,stage_sync_timers,100,69.033000,0.690330,0.233660,0.229780,0.226830
4096,4,5,enqueue_timers,100,37.994000,0.379940,0.003580,0.001050,0.000940
4096,4,5,outer_timer,100,38.364000,0.383640,0.000000,0.000000,0.000000
4096,4,6,outer_timer,100,37.890000,0.378900,0.000000,0.000000,0.000000
4096,4,6,enqueue_timers,100,37.977000,0.379770,0.003660,0.000990,0.000940
4096,4,6,stage_sync_timers,100,69.603000,0.696030,0.235730,0.223970,0.236260
4096,4,7,stage_sync_timers,100,75.284000,0.752840,0.255300,0.247200,0.250240
4096,4,7,enqueue_timers,100,44.693000,0.446930,0.003580,0.001090,0.000990
4096,4,7,outer_timer,100,45.338000,0.453380,0.000000,0.000000,0.000000
4096,5,0,outer_timer,100,49.422000,0.494220,0.000000,0.000000,0.000000
4096,5,0,enqueue_timers,100,42.302000,0.423020,0.003640,0.000960,0.000950
4096,5,0,stage_sync_timers,100,76.892000,0.768920,0.259340,0.258610,0.250920
4096,5,1,stage_sync_timers,100,74.611000,0.746110,0.254950,0.248910,0.242140
4096,5,1,enqueue_timers,100,42.791000,0.427910,0.003370,0.001050,0.000960
4096,5,1,outer_timer,100,42.484000,0.424840,0.000000,0.000000,0.000000
4096,5,2,outer_timer,100,42.555000,0.425550,0.000000,0.000000,0.000000
4096,5,2,enqueue_timers,100,41.595000,0.415950,0.003420,0.001010,0.000990
4096,5,2,stage_sync_timers,100,74.459000,0.744590,0.248970,0.247140,0.248400
