case,mode,policy,runs,speedup_vs_ordinary,speedup_vs_default,vs_default_ci_low,vs_default_ci_high,runs_slower_than_ordinary,runs_slower_than_default,worst_vs_ordinary,worst_vs_default
fresh_seeds-heldout-structured-2048,separate_seed,h1,40,1.15168013249434,0.9481862303451056,0.9323267982845631,0.9643409861239578,0,33,1.0079575297312349,0.8223221324072277
fresh_seeds-heldout-structured-2048,separate_seed,h2,40,1.1551831097896583,0.9510702558161698,0.932405083449431,0.9700661046627086,0,31,1.030874639987957,0.8148322091195662
fresh_seeds-heldout-structured-2048,separate_seed,ordinary,40,1.0,0.8233069266303119,0.8138203174920845,0.8333286245817525,0,40,1.0,0.7491206693398585
fresh_seeds-heldout-structured-256,resident_seed_batch,default,40,1.539076872813129,1.0,1.0,1.0,0,0,1.308217033415161,1.0
fresh_seeds-heldout-structured-256,resident_seed_batch,existing_cost_gate,40,1.4773316480086394,0.9598816499063938,0.9455634338744104,0.9745757673099884,0,29,1.3047630226697786,0.8504522490880702
fresh_seeds-heldout-structured-256,resident_seed_batch,fixed_1,40,0.8750151620220192,0.5685324609047397,0.5603771072849499,0.5777525299446395,40,40,0.8656635903590816,0.5327738975247781
fresh_seeds-heldout-structured-256,resident_seed_batch,fixed_2,40,1.0525311867467775,0.6838717450304858,0.6751189003727379,0.6937465361061812,0,40,1.022193349474464,0.6450038582222217
fresh_seeds-heldout-structured-256,resident_seed_batch,fixed_3,40,1.346031019715378,0.8745703632431945,0.8605403583063442,0.8902135967559396,0,39,1.2225188766160675,0.7821095498545441
fresh_seeds-heldout-structured-256,resident_seed_batch,fixed_4,40,1.3432930520392838,0.8727913957825959,0.8572533214171627,0.8901324299889282,0,39,1.2014169428680568,0.7912042348279532
fresh_seeds-heldout-structured-256,resident_seed_batch,fixed_5,40,1.3152115225956629,0.8545456993267111,0.8411826750060403,0.8691104398074108,0,40,1.1776444428808888,0.7906883034788719
fresh_seeds-heldout-structured-256,resident_seed_batch,h1,40,1.2719449504430518,0.8264336713202552,0.7969225675650262,0.8548477631781987,0,39,1.0403882054535576,0.6471477687032088
fresh_seeds-heldout-structured-256,resident_seed_batch,h2,40,1.3348363363960043,0.8672967283019377,0.8434474099398916,0.8909314642408516,0,38,1.075272111319418,0.6501222747777827
fresh_seeds-heldout-structured-256,resident_seed_batch,ordinary,40,1.0,0.6497401251778914,0.6403205096500015,0.6604978596047897,0,40,1.0,0.6046118632985348
fresh_seeds-heldout-structured-256,separate_seed,default,40,1.2575659594213566,1.0,1.0,1.0,0,0,1.1658754137717933,1.0
fresh_seeds-heldout-structured-256,separate_seed,existing_cost_gate,40,1.2720835544644746,1.0115442016654126,1.0068369636861085,1.0163496864389154,0,9,1.1938305227070523,0.9771945645422333
fresh_seeds-heldout-structured-256,separate_seed,fixed_1,40,0.8750151620220192,0.6958006102714801,0.6894343232656595,0.7022972648569583,40,40,0.8656635903590816,0.6527035379193217
fresh_seeds-heldout-structured-256,separate_seed,fixed_2,40,1.0525311867467775,0.8369590309450474,0.8300427217044597,0.8440993522717111,0,40,1.022193349474464,0.7888090112321259
fresh_seeds-heldout-structured-256,separate_seed,fixed_3,40,1.1540199437899894,0.9176615629139551,0.9092900300258675,0.9259647429485055,0,40,1.0681785628573888,0.857527192176894
fresh_seeds-heldout-structured-256,separate_seed,fixed_4,40,1.214992054469484,0.9661457877156105,0.9566481333228404,0.9757639129380902,0,35,1.1275759212698266,0.9040394903787925
fresh_seeds-heldout-structured-256,separate_seed,fixed_5,40,1.2429431681050758,0.9883721476343006,0.9820693276769652,0.9951810873708393,0,32,1.127400492104459,0.9473702503499621
fresh_seeds-heldout-structured-256,separate_seed,h1,40,1.1746596364212905,0.9340739764948681,0.9136467118013986,0.9553514546588104,0,34,1.0276251664959584,0.8073755014128865
fresh_seeds-heldout-structured-256,separate_seed,h2,40,1.197393641762112,0.9521517601455023,0.9322049599907047,0.9720593849895383,0,30,1.0422458372263514,0.8305818230439224
fresh_seeds-heldout-structured-256,separate_seed,ordinary,40,1.0,0.7951869184341867,0.7876601631985687,0.8029522604368443,0,40,1.0,0.7428940844907175
